no,text
27,"Mình không là fan cũng phải là anti fan đơn_giản vào xem lượt xem lượng không thích và thích Mình đá giá rằng giọng hát thì bình_thường không tồi_tệ như mấy người bình_luận chất_lượng mv tốt hình_ảnh khá đẹp nói_chung là truất Kết_luận rằng: là con_người ai cũng có đam_mê họ theo_đuổi đam me của họ kệ họ không ảnh_hưởng đến các bạn họ thành_công hay không là do tài_năng của người theo_đuổi nếu họ không có tài_năng sẽ không được nhiều người biết tới thì sẽ chím dần nếu có tài_năng thì nổi lên là chuyện bình_thường Còn chipu cất_công mất bao nhiên tiền của làm ra mv cả tỉ đồng đầu_tiên nếu có ý_thức của một người trưởng_thành họ sẽ đánh_giá nghiêm_túc chứ không văng_tục chửi bậy chỉnh tỏ họ không có văn_hoá, đầu của họ chỉ nghĩ được như_vậy Như cầu_thủ bóng_đá thôi cũng có cầu_thủ đá hay có cầu_thủ đá không hay thì trình_độ của họ sẽ chơi cho các câu_lạc_bộ khác nhau Ném đá hay chê_bai này_nọ chỉ làm cô ấy nổi_tiếng thêm thôi nếu bạn ghét có_thể không xem hoặc huỷ theo_dõi là ok đừng để mình là người có ăn học đoàng hoàng mà ngừoi khác thấy mình quên đã được ăn_học thế nhé"
28,Khi tôi đang xem tivi thì tôi nghe bài hát thì anh tôi bảo táng nó đi thì thì tôi táng nó thì anh tôi hack tivi thì anh tôi lại nhạc ksi thì tôi gét nó và hai người bật cả hai nhạc
29,Một phong_cách rất hàn_quốc cố lên Chi_Pu
30,mặc_dù không phải fan nhưng_mà này anh Tùng rất đẹp_trai. ngầu làm...
31,Tôi không biết mình có phải là người Việt hay không. Vì khi tôi nghe bài hát này tôi không hiểu 85 % nội_dung của nó
32,Cái địt cụ mày hát cái bài nghe như máu lồ * vậy. Địt cụ chứ đi đâu nghe cái bài này muốn đập mẹ loa
33,Nghe càng_ngày_càng hay đấy ạ....!!! Đừng quan_tâm những người không biết thưởng_thức nhé chị ( em chấp_nhận nhận đá để xây nhà :cười_ra_nước_mắt: ) Chúc chị thành_công!!! :hôn_gió: :hôn_gió: :hôn_gió:
34,mọi người chắc đang xem lạc trôi :thư_giãn: có còn ai xem mv này không??
35,Đừng có cà_khịa ông phải_biết lo đi Sống trong cuộc_đời là phải_biết cho đi Như cho đi khẩu nghiệp Thì nghiệp quật nặng đấy Lúc đấy siro nên đổi thành sory ANH mèo simmy thấy chị_em sao không thả tim đi Cùng tỉ_thí công_bằng như là phim đi Nếu không dám nhận_lời thì em im đi
36,"em không phải fan đâu nhưng em thấy cũng hay mà. sao lại chê, khó hiểu"
37,"Cái nội_dung dễ hiểu mà, chắc do mấy bạn ý chậm hiểu = ) )"
38,"ngày 26 - 10 còn ai xem không, nhất_là bê dê!"
39,ai ma vua vào nghe nhu tôi... vào comment zalo choi nam :cười_toát_mồ_hôi:
40,"Heyyy, anh_em tắt chế_độ phát tiếp_theo đừng để BBBB ăn_theo nữa nhé, dạo này tắt nó tăng chậm lại rồi đấy."
41,"Ôi, đúng là quái_vật Rap phi phai, kẻ huỷ_diệt punchline, tổng_tư_lệnh gun bả, chiến thần chơi_chữ, Lỷical god, chúa_tể gieo_vần, tù_trưởng fastflow, đại_đội trưởng trung_đoàn battle, no1 vipro thí_sinh top1 king of rap, thần_thoại concept, huyền_thoại freestyle, đức chúa rapper, King rap lỏd, lãnh_chúa của các thế_hệ F1, 2, 3, người viết lên bí_quyết các trận beef, trùm đảo chữ, cụ tổ lái từ, thuỷ_tổ delivery, tướng_quân chơi Trap, thầy dạy oldschool, ông_tổ autotune, Trùm vocal, thiên_tài no beat, Vị thần content, người đột_biến Hệ rap, quái thú đồng_âm, chiến thần đa_nghĩa, dị_nhân hán việt, Thần_đồng ngôn_ngữ, kẻ nắm giữ fact rap việt. Tune thủ quốc_gia"
42,Vào Youtube xem gì thì xem nhưng cứ phải vào đây nghe 1lần cái đã: )
43,"Mình thấy Mv hay mà, tuy nhạc không được hay đến hoàn_hảo, nhưng vẫn chấp_nhận được. Vậy tại_sao lại chê như_vậy??? Muốn vùi_dập người khác đến vậy sao"
44,đỗ phú_quý nếu mang bài này đi diễn cho hội người điếc nghe
45,Mẹ mày ấu_trĩ đéo hiểu sao ra được cái bài này
46,con may ngay nua la du 1 tháng rui co len dat được 50 trời
47,Mấy đứa hay nghe nhạc của loren kid thì nghe bài này thuận tai
48,"Buổi tối nghe nhạc của chị sáng ra lái_xe đi làm nhạc chị văng_vẳng bên tai, vừa lái_xe vừa hát theo. Chị ơi mạnh_mẽ hơn_nữa nhé :trái_tim_đỏ:"
49,"Không thích thì lướt nhẹ đi: ) ) có nghe là được rồi Đờ mờ cứ thích to_mồm phán_xét, không biết sống sao với mấy mẹ nữa plssss :đảo_mắt:"
50,pov 1 người bình_thường sau khi nghe bích cờ bôn: giấy chứng_nhận tâm_thần_phận liệt :đầu_lâu: :đầu_lâu: :đầu_lâu:
51,Trước ra mấy bài hát thì không thấy kêu. Tự_dưng giở_trò. Kệ bno đi chị. Hwaittinggg
52,không pai thể_loại nhạc minh thích nhung pai noi sơn tùng rat đẹp
53,"thiệt là không có ghét còn theo_dõi học_hỏi cách ăn_mặc này kia. nhưng phải nói cái mv làm chướng mắt vãi luôn á. nhạc hay lời thì sai thấy ghê. cách nhảy làm khùng điên lúc đầu và vài chổ kiểu làm không ra cái chất khùng mà chướng lắm luôn. ai fan "" mợ chảnh "" khuyên chipu xem "" mợ chảnh "" mà học_hỏi cách khùng lầy để vừa_mắt thiên_hạ :kiên_nhẫn: tóm_lại chướng mắt 🖓 🖓"
54,Việt_nam ai muốn làm ca_sĩ cũng được í nhĩ???
55,"Bài này cũng không đến nổi phải không thích. Nhạc cũng hay, lời dể thuộc. Kk. MV đầu_tay như_vầy là hay rồi. Làm được như cô ấy không mà không thích."
56,Rikaki rap tự_cao bản_thân quá nhiều nói thế thôi chứ ai fan rikaki thì cho tôi Xin_lỗi nhé
57,mong mọi người thích nhiệt_tình vào để có 1 khoảng kinh_phí để ra những Mv hay hơn_nữa Rất cám_ơn mọi người
58,xem MV thấy liên_tưởng tới cái bài gì của nicky mông bự ấy
59,24 năm trước khi sơn tùng sinh ra tôi đã nghe bài này rồi
60,"Nếu mình yêu Tùng, tin_tưởng anh ấy thì xem MV và ủng_hộ anh. Ai không thích hay soi_mói gì thì kệ họ coi như không nhìn thấy. Họ đã không thích rồi thì giải_thích hay tranh_cãi thì cũng vẫn thế thôi!!!!!"
61,Mình không là fan của 1 ca_sĩ nào cả. Nhưng theo ý_kiến của mình khi Pu bước đầu_tiên lên nấc thang_âm nhạc thì nên chọn những bài hát nhẹ_nhàng có độ phiêu và dễ hát để dễ nghe và dễ bắt_chước hát theo. Dù_sao cũng thích cho Pu
62,"chạy ngay đi vì chúng_ta không thuộc về nhau,, :hôn_gió: :hôn_gió: :hôn_gió: yêu sếp lắm :mắt_trái_tim: :mắt_trái_tim: :mắt_trái_tim:"
63,Tôi còn nhớ bài này tôi được nghe hồi còn mẫu_giáo :há_hốc: :cười_đỏ_má:
64,Nghe thì cũng chấp_nhận được đó! Nhưng về phần trang_phục thì cần xem_lại! Nhất_là trang_phục ở phần đầu! Và phần cuối! không hợp chút nào!
65,có mỗi từ chúng_ta không thuộc vê nhau :mặt_ranh_mãnh: :mặt_ranh_mãnh: :mặt_ranh_mãnh:
66,"Sao mọi người cứ cmt mắng_chửi anh í thế, sao không ủng_hộ người Việt, lời bài hát bên kpop hay Us_Ừ còn sáo_rỗng vô_nghĩa đôi_khi tục_tĩu hơn ntn mà sao mọi người vẫn nghe ¿ anh í hiền_lành hơi nhạt nên ai mắng_chửi cũng chịu_đựng chứ có dám hó_hé chi mô thật tội anh :trái_tim_đỏ: :trái_tim_đỏ:"
67,tôi không hiểu tại_sao nhiều người lại không thích mv này
68,Cứ mỗi lần anh ra MV thì mặc_nhiên sẽ cày lại những MV khác
69,lũ anti này hội_đồng disslike kinh thật hahaha snag1 8k giờ 18k tới nơi rồi! ca_sỹ của bọn nó không được như Tùng đây mà = ) ) ghê thật căn tiếp i ANti! sky vững tin nhé tụi nó nói gì kệ tụi nó! khỏi cải hay giải_thích chi mệt!
70,Lượt thích và không thích đag tăg đều: ) ) ) chúng_ta không luộc được rau = ) )
71,"Eureka ~ see that. phai ơ ờ ế ơ. phai ơ ớ ờ ế ồ. Eh, burn it up: ) bow wow wow Quai ai ái ai ài, quai ai ái ai ài. we don ' tôi talk anymore, we don ' tôi love anymore. Just love me right aha, baby love me right. Color ring, ring, ring, ring...: ) Tùng all PASS."
72,ANH Mèo_SimMy_Thấy_Chị Em Mà Sao hokk Thả :trái_tim_đỏ: ️ :trái_tim_đỏ: ️ :trái_tim_đỏ: ️ Đi
73,Giọng hát cũng ổn.. MV vũ_đạo đẹp.. nhạc bắt tai :hai_trái_tim: :hai_trái_tim: :hai_trái_tim:
74,Chết mẹ tôi rồi cái thằng Bigbabol mày cút mẹ mày đi
75,"1 nghề cho chín, còn hơn chín nghề Chi ạ! Đừng quá tham_lam."
76,ngày_càng hay hấp_dẫn chất_lượng có đầu_tư.
77,Bật_CỜ_CỜ rồi nhấp không: 30. mấy bác có nhận ra điều gì không
78,EM là fan của hero team suốt đời hero team là nhất :trái_tim_đỏ: ️ hero team
79,"Đkm chữ "" mờ "", "" hờ "", "" vời "",... mày hát rõ chữ cho tôi với, tạo cảm_giác sến vãi cả lúa"
80,hay Tùg ạ. Cố lên nhé anh. Sky luôn bên anh: )
81,chị ơi cứ làm hotgirl bthường thôi đừng hát ntnày gạch_đá bất_tận lắm: ( (
82,hinh nhu doan rap tren duong ray không cau Chuong_Duong thi phai
83,Góp_ý. đỗ phú_quý nên hát rõ giọng hơn. chứ không nghe rõ hết được nội_dung bài hát
84,"_Son tung dao nhac do cai khúc day xuong be nuoc i hét nhu cai mv cua nuoc ngai kia lún!! Con cai mang phun khoi thi i hét cua d garon cua nhom bigbang va teayeon snsd!! Không nen than tuong voi cai dieu nhac cung giong cua 1 cai mv khác cua ca si nuoc ngoai!!!!! ( my )!!!!!!,,,,,!,!! @ @ @ @"
85,cha_mẹ tin bạn ông_bà tin bạn sơn tùng mày - tp tin bạn
86,bài này nhìn MV khá giống MV bên Hàn. Mà mình không nhớ tên MV đó
87,Qá tuyệt_vời... Nge cả đêm không thấy chán :vỗ_tay: :vỗ_tay: :vỗ_tay:
88,"Thấy mọi người vô chê dữ quá, mình thấy sản_phẩm chất á chứ, chất_thải"
89,"Chi pu hát hay mà sao mọi người lại trê chị chi pu hát không hay, nếu mọi người nghĩ chị chi pu hát không hay thì mọi người hãy xem_lại mình đi hát hay bằng người ta không mà trê người ta hát không hay xinh bằng người ta không mà trê người ta"
90,Bởi sao nhân_tài đéo muốn sống ở việt_nam đi ra nc ngoài hết vị bị bố cái vụ dìm hàng của tụi mày
91,"Ghép có quá nhiều bài hát nổi_tiếng vào quá ( hate - 4minute, why - taeyeon, fire - bts,.. ) đặc_biệt là beat là we don ' tôi talk anymore. Mình là army mà nghe phần rap đau cả lòng"
92,* Gọi bài rap là tiêu_chảy vì nó làm tôi tiêu_chảy thật:: ) ) ) ) ) ) ) ) * * Cảm_mơn lửa chùa đã giúp tôi tiêu_chảy xin cảm_mơn:: ) ) ) ) ) *
93,"Bài hát thật_sự nghe rất chán, từ vũ_đạo, ca_khúc đến nhạc. Nhưng bạn hãy cố_gắng trau_dồi thêm nhé. Đừng bỏ_cuộc"
94,Nghĩa của từ MTP: MÀY: Muợn_TÔI: Tác_P: Phẩm
95,49. 913. 400 lượt xem: ) 1 tiếng nữa là tròn 1 tháng rùi... kinh quá = ) nhớ năm_xưa ecnhq 9 tháng được 40m đã gọi là lập kỉ_lục - - ' '
96,Quá xinh đậm chất hàn. Giọng hát tke là cũng được rồi. Cố_gắng tậm luyện nhiều nữa chắc_chắn chi pu sẽ là ca_sĩ toả sáng
97,"Giống con_nhỏ 15 cover em_gái mưa vai, làm MV ngu như bò, không có gì hay, ca cũng như shit"
98,Team làm sub tiếng Anh đỉnh quá...! Chúng_ta không thuộc về nhau = We don ' tôi talk anymore. Không biết có dụng_ý gì đây?!? :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt:
99,em Fan anh liêu shady anh DSK anh lee7 anh kyo chúc anh thanh công: ) ) )
100,Cảm_ơn bài hát này đã làm cơn táo_bón của tôi biến mất :cầu_nguyện:
101,Sắp 233M rồi cố lên để vượt bài NLO của Karik nào mọi người
102,Cái khúc chơi khói giống Taeyeon quá! Còn giống We don ' tôi talk anymore thì khỏi nói rồi
103,"THICK OF IT SAID: HEY BRO! YOU DROP THIS THING :huy_chương_vàng: :cúp: TITANIC SAID: :đầu_lâu: :đầu_lâu: :đầu_lâu: :đầu_lâu: :đầu_lâu: :đầu_lâu: :đầu_lâu: :đầu_lâu: :cúp:0 :cúp:1 TRIỀU_TIÊN: ĐÂY SẼ LÀ CHẤT PHÓNG_XẠ MỚI TRONG LOẠI BOM_NGUYÊN_TỬ TIẾP_THEO ĐƯỢC TẠO RA MỘT THẰNG NÀO ĐÓ TRONG GIỜ THỰC_HÀNH_HOÁ ĐỂ NHẠC CHUÔNG BÀI NÀY VÀ QUÊN TẮT NGUỒN, MẤY LỌ CHẤT HOÁ_HỌC BELIKE: :cúp:2 :cúp:3 :cúp:4 :cúp:5 :cúp:6 :cúp:7 :cúp:8 :cúp:9 :đầu_lâu:0 :đầu_lâu:1"
104,Chúng_ta không luộc được rau vẫn hay :đeo_kính_mát: chác li pụt MTP mãi đỉnh
105,giờ qua nhật rồi lại nhơ hồi lớp 11 khai_giảng ngồi trên lớp thầy bật bài của iod
106,"Chi_Pu hát cũng hay mà, sao không thích nhiều thế kia?"
107,ahaha hơn 77 rồi 2tháng nữa mới hết năm. ahihi thừa 100 rồi chùng ơi ; )
108,nói thật nhạc sơn tùng nhãm vãi cả lúa khi nghe lần 1. qua lần 2 lần 3 thì khác_biệt rõ cmn ràng. bây_giờ thì nghiện luôn = ) )
109,Bật 2x thì đoạn anh siro không nghe được gì :cười_ra_nước_mắt:
110,"TÔI thề xem lần đầu chả ra_gì, nhưng xem clip hài chế nhiều quá thuộc cmn từ bao_giờ không biết, như kiểu Lạc_Trôi, Nch giờ nghe bình_thường không hay cũng không dở = ) )"
111,Thích thể_loại nhạc như này của Tùng hơn :trái_tim_đỏ:
112,= ) ) ) ) gần 8tr nhé. cứ we don ' tôi thuộc về nhau ei
113,"sao coi 2, 3 lần mà không tăng lượt xem vậy? bạn noà chỉ mình với. Mình coi 100 % luôn chứ không tua gì hết á"
114,"Gìơ mới để_ý kĩ, cái chị thứ 2 sao giống chị Minh_Hằng thế nhỉ.."
115,fan team Snake_Esports chúc sơn tùng thành_công!!!!!!!!!!!!!!
116,nằm trên đường tàu giống sehun trog bài love me right
117,Cảm_ơn bài hát vì đã trị dứt_điểm bệnh táo_bón của tôi :trái_tim_đỏ:
118,hay quá.... miễn s anh ra ca_khúc hay là được rồi... không qtâm
119,"Cô_đơn đôi chân "" lạc trôi "" giữa bầu_trời.: vậy"
120,cảm_ơn anh vì bài nhạc này vì em đng điếc mà anh đã giúp em thủng mẹ lổ tai luôn rồi
121,giọng mình thấy cũng hay mà sao mọi người dis nhìu thế. nếu thay_đổi trang_phục phong_cách tí chipu có_thể tiến xa hơn
122,có nge được rồi soi_mói cmj tôi mày. không nge thì biến
123,Tại_sao nhiều người lại ném đá chị Chipu nhỉ chị ấy có làm_sao?
124,Có_vẻ không được đón_nhận nhiều được như hero đại_chiến và streamer đại_chiến nhờ: )
125,Sao bài hát ít lời thế nhỉ? Cứ quanh_đi_quẩn_lại mấy câu từ
126,"Bài hát này hay nhưng mong Chi cải_thiện giọng hát, nếu hát hay hơn_nữa thì bài này sẽ rất tuyệt đấy :thích: thật_ra lần đầu mình nghe cũng không thích lắm nhưng nghe nhiều lần rồi lại thấy giai_điệu rất hay!"
127,Chị mèo sjmnj có_thể làm được điều này em thích nhất nhớ chị chị hãy chị hãy về đi chị mèo simmy ơi_là ngon em nhớ chị quá chị về đây với em
128,Cảm_ơn vì có một chiếc xe kì_lạ cứ theo dỗi tôi và khi tôi về nhà thì chiếc xe đó cũng bám theo và khi tôi bật bài này lên thì chiêc xe đã biến mất cảm_ơn :trái_tim_đỏ:
129,HAy quá chị ơi. Ra MV tiếp nhé. Yêu_Chi_Pu < 3
130,Âm bass đập ầm_ầm nghe sướng run người :mèo_mắt_trái_tim:
131,Càng phán càng sáng! Quá hay Tùng ạ. Mến anh ~ ủng_hộ anh ~
132,cai nay giong nhu ghen an tuc không s ak.. thay ngta vậy rồi chê bay noi nay noi nọ... ngta hat thi ke ngta di mat gì noi qai vậy trời.. ngộ thật... thich thi nghe không thich thi thoi dug co nghe... noi không thich vậy chu vo coi rồi chê... buồn thiet... :bối_rối: :bối_rối: :bối_rối:
133,Chỉ cần 1 người CON TRAI ns Ahihi là thế_giới mất đi 1 người ĐÀN_ÔNG.. mà Đọc cmt lắm thằng Ahihi quá.. = ] ] Vấn_đề ở đây là nghe nhạc và thích thì nghe đéo ' thích thì thôi.. 30 tuổi_đầu rồi mà vẫn thấy bài này quá Hay.. ( Y )
134,không ra bài hat moi thi noi_son tung mtp het thời. GIỜ ra bài moi bon anti co chuyen lam mai len youtobe lai gap mv nay ghép so sanh với mv hàn
135,Nghi_vấn các cmt chê hay đả_kích đều bị delete
136,sao có quá nhiều người cứ thích nói_xấu người khác thế nhỉ bực
137,Tôi tự thề là bản_thân không_thể_nào nghe qua nổi 1 phút. Mẹ ơi.... :khóc_nức_nở: :khóc_nức_nở: :khóc_nức_nở: :băng_đầu: :băng_đầu: :băng_đầu:. Méo hiểu mẻ có có bị tự_tin vãi cả lúa khi tự nhận làm ca_sĩ :buồn_cúi_đầu:
138,: ) ý_kiến riêng của mình là chi pu không có tố_chất làm ca_sĩ. chất giọng không cao. hơi lại thấp nên mình không thích cho lắm dù mv này nghe rất hay cho lắm
139,"Sao mà không thích nhìu thế trời, bài của người ta hay như_vậy mà ông nào bà nào không thích chi của tôi"
140,"tôi không hâm_mộ sơn tùng và cũng không ghét... mà phải nể một điều là MV 22tieng mình đã có gần 3. 000. 000 lượt xem rồi, đó là một điều mà người việt_nam chưa chắc có người thứ 2 lam được.... cứ tiếp tuc phát_huy nhé MTP"
141,Nhạc thì như cờ cờ mà tự_tin nhạc mình hay tôi nói thật nhạc mày nghe như cái đầu buồi tôi vậy tuy duy nguuu quá không biết làm nhạc gì
142,Cảm_ơn anh! Nhờ có anh mà hội ăn_cắp tụi em cũng tự_hào lắm đó!
143,"Đọc comment mọi người có_vẻ tiêu_cực nhỉ = ) ) ) ) ) ) ) còn mình thấy anh ấy đang lan_toả năng_lượng khá tích_cực mà, rất chill guy vibe"
144,28 / 08 / 2021. Đang nghe trong thời_kì giãn cách xã_hội đại_dịch covid năm thứ 2.
145,Chi pu giong thì hay nhưng bài hát nge không hay.
146,Chj chi chỉ cần thêm hơi khoẻ thêm chút là đk_anh
147,"MV quá đẹp, hy_vọng anh sẽ có nhiều MV mới đẹp hơn_nữa. Mà lần sau ra 2 cái khung giờ riêng để tụi em cày lượt xem nhé."
148,"Top1 Game thủ gắt_gao, cá_mập sát_thủ tôi đây cân hết"
149,mình là người nghe nhạc hay thì nghe. bắt tai đẹp_mắt. why không ủng_hộ. cái hay cái đẹp nên được tiếp_nối duy_trì quảng_bá. những người trong cuộc họ chưa lên_tiếng thì mình những người không chuyên không nên vội đưa ra phán_xét phiến_diện.
150,Thật_ra nhiều nghệ_sĩ Việt thèm lắm cái cảm_giác mà Video_Clip mình làm ra mà được người xem như thế_này lắm... Chẳng_hạn TD hay_là VCT
151,Như lồ người -. - đờ mờ thằng Sơn_Tường_Ôm_Ti Vi
152,We_Don ' tôi Talk_Anymore - Charlie_Puth ( heyder remix ) do sơn tùng chế lời và thể_hiện! = ) ) )
153,"fan cô_giáo Thảo chúc Tùng thành_công, say oh yeh"
154,Thật_sự thì mình Không ghét sơn tùng đâu. từ khi anh thanh duy share bài viết và bọn fan sky vô bình_luận mình đọc mà càng ghét sơn tùng
155,Bài này nghe như hấp diêm lỗ tai của tôi. Dở vaci l luôn
156,chủ_nhật xì_ke rảnh nên kéo vào xem tăng lượt xem ghê vãi = ) )
157,"Không_thể phủ_nhận chipu hát live tệ, nhưng ít_ra mv có đầu_tư"
158,fan hoá_học 9 chúc anh Tùng thành_công: )
159,Mình nhớ là bài chúng_ta không thuộc về nhau và bài we don ' tôi talk anymore đều ra ngày 2 / 8 mà
160,Trước_kia hông thích ổng giờ thích kinh :hôn_gió:. Phải công_nhận có tài thật :mắt_trái_tim: :mắt_trái_tim: :mặt_thiên_thần:
161,50 triệu trong 1 tháng chắc rồi ae Sky ơi
162,"Em chọn chị hà thảo linh, chị Sammy và chị mèo simmy"
163,"càng nghe càng thích, giọng còn hơi yếu nhưng_mà vẫn không tệ, trước không ghét bà tràm lắm nhưng_mà giờ thì thấy ghét rồi đấy"
164,mấy ông cứ chê chứ tôi thấy vài ông rap cũng nghe được mà = ) ) nhưng_mà có vài thành_phần làm hỏng cái bài nhạc.
165,Quảng_cáo ít thôi nhận mà chôn mẹ mày lắm quảng_cáo à
166,Cùng nhau nâng cao âm_nhạc VIỆT_NAM lại không muốn mà_lại dìm sự phát_triển âm nhac nước_nhà xuống
167,Tôi nổi da_gà.... vãi cả không ó không oàu.. kinh vãi nồi :mặt_ranh_mãnh: :mặt_ranh_mãnh: :mặt_ranh_mãnh: tôi thấy dở thì nói dở. éo biết nịnh_hót như con bọn bày_đặt kia. dám nói. dám nghe chửi. chửi đi mấy cái bọn hám sắc hãm l.
168,nhạc một đường giọng một nẻo. lần đầu và cũng là lần cuối nghe chi pu hát. nhạt vãi cả lúa :mồ_hôi_lạnh: :mồ_hôi_lạnh:
169,tôi thực_sự phải vào tab ẩn_danh để xem bài này đấy tác_giả à ; ) ) ) )
170,Con di này be ngoai giả nai chú nó thành tình ui
171,Làm nghệ_sĩ mà ra sản phầm ntn mà coi được. không tôn_trọng khản giả gì cả
172,Cố lên nhé chị < 3 mấy đứa fan của HT chỉ hùa theo mà chê thôi chứ thực_sự em thấy chị hát rất hay và nhảy cũng rất đẹp: 3 cố lên chị yêu
173,"Nhạc nghe cũng bắt tai, giọng chị cũng hay nhưng_mà lời em chẳng hiểu gì - _ - chỉ nhớ được toàn oh với_anh"
174,Phiá trước bâyh ai đang nắm chặt bàn_tay của em vậy??
175,"Nhiều bạn nói tại_sao cùng là người VIệt_Nam với nhau mà tại_sao không bênh ST mà_lại đi nói_xấu. Vâng xin trích một cfs thế_này "" Nhưng tại_sao phải bênh nhỉ, đứng_đắn tử_tế thì người ta ủng_hộ, có ai đi bảo_vệ 1 thằng ăn_cắp bao_giờ ""."
176,"nghe kinh lắm í, nghe một lần là xong đau_đầu ù tai luôn, lời thì sáo_rỗng thị_trường, giai_điệu thì nhạt_nhẽo, cái gì mà xa mợ với hững hợ. MV thì linh_tinh chả cái gì ăn_nhập vào cái gì, trẻ_con không ra trẻ_con người_lớn sexy cũng không tới. Nói_chung là chổng mông vào âm_nhạc = ="
177,- tạm tạm nhá cũng hay nhưng không hay bằng exo được
178,"Đâu có gì gọi là dở??? Cũng được mà, dù giọng chưa quá hay, nhưng như thế_này là ok rồi, không biết hát live sao thoi Mình thấy các bạn đa_số không thích theo phong_trào.. Sản_phẩm đầu_tay mà, chúc Chi thành_công, yêu Chi :hôn_gió: :trái_tim_đập:.."
179,Số lượt xem nhiều là tại nhiều người chê quá cái không pít MV ra sao mới dô xem.. Chứ không có hay để nhiều lượt xem :phân: :phân: :phân:
180,beat nhạc rất hay nghe bắt tai nhưng ca_sĩ hát dở quá.. nếu_mà phải ca_sĩ chuyên_nghiệp hát bài này thì thành hít ngay.. được mỗi_cái chi pu nhảy đẹp diễn_xuất tốt
181,"Một đám hùa theo nhau rồi bày đạt ghét này_nọ,, :thèm_ăn: :thèm_ăn:.. Tôi khinh lũ chó như_vậy, thích thì nghe không thích biến đéo cần_thiết, 1 video người ta làm bằng cả tâm_huyết của mình làm ra để cho mọi người giải chí thôi, chúng_mày nhìn lại mình đi lũ bố phải hùa theo nhau"
182,Có ai biết quần sơn tùng bận không đẹp qúa quần ôm
183,"Dù là gen vậy nhưng vẫn không thấm nổi, không hiểu đã nghĩ gì mà dám để bài hát và ca_sĩ như_vậy mà truyền_tải???"
