,text
130,"Đừng có cà khịa ông phải biết dần lo đi
Sống trong cuộc đời này phải biết cho đi
Nhưng cho đi khẩu nghiệp thì nghiệp quật nặng đấy 
Lúc đấy thì Siro đã đổi thành Sorry!
A! Mèo Simmy!
Thấy chị em mà sao không thả tim đi!
Cùng tỉ thí công bằng như là phim đi
Nếu không dám nhận lời thì thôi em im đi!
Yaa!
.
Để tôi tiếp Cô Ngân hội chị em xê ra!
Người chơi hệ MP5 đấu với hệ MP3!
Và những kẻ Anti luôn ở bên chê ta...
Ngày mai phải thốt lên Oh Damn 
Ghê nha!
Bởi vì ta luôn nỗ lực vương tới đỉnh cao 
Kỹ năng trau dồi tốc độ ngày càng ảo kinh
Khả năng cận chiến thì chẵn ai dám bảo khinh...
Còn số người mà bảo xinh phải ngang Hà Thảo Linh"
131,Ti gaming u :)))))
132,Có bác gấu luôn
133,Siêu  khét  luôn
134,Hero team máy điện thoại sang thẻ sim cố lên Em luôn ủng hộ cả tim mà cố lên anh chị 🇻🇳🇻🇳🇻🇳❤️❤️❤️💞💞💗💗♥️♥️💝🇻🇳💝🔞💖😘 in
135,0:30
136,Đã 4 năm rồi seo😅
137,2025 rồi còn ai coi không
138,Hồi lần ngầu giờ như 💩
139,Di sản Hero team lại cho Lửa Chùa
140,2026 còn ai coi ki
141,Ủa hồi đó nhớ ngầu lắm
142,MV quá hay 👍 😂😂😂😂😂
143,Hãy quá🎉🎉❤❤❤❤❤😂😂😂😮😮😮😮😢😢😢😊😊😊❤😊❤❤❤😢
144,Hay quá😊😊😊😊
145,"tr oi, lớn r mà nghe vẫn cuốn á 😮😮😮"
146,Z mà coi trc mặc bố mẹ hồi đó đc :jjjjjj
147,chị tui fan bác gấu
148,Chùi nhiều idol qéo
149,Điếng 😊
150,Ừ thì hay hơi kid...
151,"2025 van thay hay, Timmy hài vaix =))))"
152,Chủ yếu vô đây để nghe câu của mèo simmy
153,Em thích chổ chị simmy
154,Thua mỗi đạt chiến ff
155,Quá chiến hero ơiiiiiii❤❤🎉
156,Trẻ trâu
157,hay nha
158,Nghe như lồng đèn
159,Ngầu quá đi ❤🎉😮🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢🎉🎉
160,5/11/2025 có ai còn coi không
161,Team hero là nhất I love you ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉
162,Mới đây 4 năm r á
163,Wow
164,2025 có ai còn 😢
165,Hà Thảo Linh ổn nhất r
166,Nghe lại thấy sợ lun😇
167,Roblox mãi đỉnh ff quỳ xuống
168,2025 ai xem không
169,Bác gấu kìa
170,Hero team số 1
171,nhạc thời ko lông
172,From Bangladesh ❤
173,Ôn lại kỉ niệm còn ai hơm ? 🥰✨
174,2:24 😮😮😮
175,Ối dồi ôi bác gấu kìa 😂
176,ko bt năm 2025 còn nghe lại ko nhỉ
177,Bài này hay thật là hay
178,Cái khác cũng không quan trọng nhưng quan trọng bài hát chấm nhiều điểm khi chấm 1 tỷ tỷ điểm
179,Bài 2 dân mấy cái khác gì không
180,bây giờ xem lại cũng hay
181,2025
182,Xin 1 anh zề để nghe rap mỗi ngày nhé kkk
183,Ôii cj hà thảo linh 2025 ai xem ko
184,Quá hay luôn 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
185,Top 1 đi anh ❤❤❤❤❤❤❤
186,Hero Team ngầu quá😊❤
187,Mèo Simmy đã lên tiếng thì nó cứ bị bánh cuốn sao ý 😊😊😊❤❤❤🎉🎉🎉 2:45
188,nhìn bé lâm đố anh win
189,Nghiện 😌😌
190,Má hay thế
191,Chị em xe ra mãi mãi dinh ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
192,Ê tôi
193,"Tôi yêu bài này, bài nhạc thế kỉ"
194,❤🎉😊
195,Tât cả gà
196,❤
197,Chi sim my ngau
198,nhóm kia thử đụng hero team đi 😡😡😡🤜🏻🤛🏻🤜🏻🤛🏻
199,Hai
200,Có ai coi lại ôn kỉ niệm xưa ko
201,Quá hay ❤❤
202,Hello mn
203,Hello mn
204,Ê
205,Top 1 nàoooooooooooooooooooooooooooooooooooooooooooooooooo
206,e iu chi meo simmy
207,Ô vãi bác gấu
208,Xem lại đại chiến lịch sử
209,Sv hero như đb 💩😾
210,"Nhạc nghe như (),hero team như ()"
211,Hình như mới vừa chỉnh sửa 2:48
212,2025 ròi ai còn xem ko ❤❤❤
213,Free fire làm đéo j liên quân đi
214,Simmy hay quá❤❤❤
215,2025 roi còn ai k aaa❤
216,😊
217,Begomnm❤❤❤kl
218,Hero là nhất
219,4năm sau😢
220,Khi nào ăn cơm em cũng coi phim này
221,Bây giờ xem lại thì...trẻ trâu quá :))
222,Simmy rap đỉnh vãi
223,Thích chị mèo simmy nhất
224,Ai là fan của chị Mèo simmy thì Giơ tay lên
225,4 năm rồi đó trời. Nhanh thiệt
226,nghe lại hay phết😂
227,nghe lại vẫn hay
228,😊😊
229,Hè rồi free fire thôi ae ơi
230,70TR lượt xem 😯😯
231,2025 gần 2026 nghe vẫn hay
232,"Ngày xưa mn nghe cái nhạc này cái cũng hiểu đôi chút luôn,mà hình như lúc đó các bn bằng tuổi mn mỡ hiểu á,mà thích lúc anh Phong và chị Sam luôn á❤"
233,Sao mấy anh chị hát hay thế
234,nghe lại ms thấy rikaki vs siro gánh nguyên bài.🥰🥰🥰
235,Tôi là tương lai🎉❤
236,"❤❤❤❤❤
🎉🎉🎉🎉🎉"
237,điểm quá đi 😮😮😮😮😮😮😮😮😮
238,Kairon và toàn tây là bạn cũ của nhau á mn
239,😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘♥️
240,Chị simmy hát hay quá🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵
241,Ê bây ơi t nghe thấy cuốn cuốn sao á:))))
242,Herot taem
243,Cô ngân Top 1💯💯💯💯💯👍👍👍
244,"T.GAMING RAP 🤮🤮🤮🤮🤮
SAMMY RAP🤮🤮🤮🤮🤮"
245,Co ai den tu 2025 ko:)
246,HAY\
247,bà timmy nhìn chubby quá
248,SAMMY RAP 🤮🤮🤮🤮🤮
249,hoi ao game
250,Hihi
251,Tem hero đâu rồi ta shin một cánh tay nào
252,Tao fan chị Kim Ngân ❤❤❤❤❤❤❤
253,Em phan anh si rô
254,"cô ngân TV tuyệt vời, mèo simmy dell có tuổi đâu mà đòi rap"
255,Đúng hay
256,Hai qua
257,Minh thu ne
258,Em mat di hoc
259,Lau roi hong coi
260,Cô ngân cũng chỉ là muốn
261,Trừ đoạn Vịt Kho Tiêu ra thì khúc nào nghe lại cũng thấy hay =))
262,Hồi xưa lẩm nhẩm có 1 bài này mà sao giờ thấy nó...
263,:)) coi lại sau 4 năm
264,Không biết
265,❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊
266,Iàng hero hát hay quá
267,ủa có bác gấu kìa
268,Thật ra rất khó nghe
269,Ghét bà cô ngân quá 🖕
270,Thích thì xem
271,k nghe gi het luon
272,2025 r đứa nào còn xem
273,=)))))))))))))))))))))))))))))))
274,1:39 ớ nhớ hồi đó quá
275,xem lại thấy vẫn hay:))
276,Simmi hát hay quá
277,con cet
278,Ở
279,15/9/2025
280,"Akekdu Chào phong ❤❤❤❤❤❤😂🎉🎉🎉🎉
Iiskkalesm kio"
281,Hay quá!!! nhưng cái khúc của siro nghe hơi lú
282,Team phong ❤❤❤❤
283,2025 còn ai ko
284,Ôi anh T - Gaming u
285,Mèo Simmy là nhất với Sammy ❤ vô hero team là nhất ❤❤❤❤❤❤❤❤❤❤❤❤😂
286,Có bác gấu
287,"Mồm kinh đấy, giỏi mà qua arena breakout mà thể hiện trình ấy, coi chừng bay gáo như chơi nhá mấy nhóc 🤫"
288,Cháy quá anh chị ơi 🔥
289,"thứ 6, 12 tháng 9 2025 coi muộn:)"
290,Ruby đâu
291,Haizzz 😢😢 hơi buồn 😢😢
292,hay quá
293,😊😊😊😊
294,Hãy và rất hay 🎉😅
295,sao gạo bạt ráp e là phong cận có phần cong
296,Tôi chọn He ro team
297,Chị Mèo Simi ❤❤❤❤❤❤
298,Tuii đã tới lúc năm 2026
299,Đâu tay đâu xin đừng nấu tay tôi 😔😔😔
300,gắt quá gắt như cạp lunnn thích quák àkkk
301,Đỉnh
302,+1 máy ngồi xem lại
303,Nhạt đầu tiên dóng phi phai quá😮
304,Chị Mèo simmy mải đỉnh
305,Em xem quài mà vẫn thấy hay
306,im hết
307,Đố ai muộn hơn t
308,T trễ nhất rồi
309,Cho kiều trang lên thi với sim sam
310,Giờ xem lại niệm Phật
311,"Chi Simmy va sammy 
La em rat thich luon 
Aaaaa"
312,hero
313,Fi fai sống dai thành đầu buồi
314,nói v th chứ thuộc hết bài đó 😞😞
315,sớmm
316,Chịu tht
317,Tuổi thơ của tuuii 😢
318,Weo lâu r coi lại thấy bác gấu 😅😅
319,tôi nghĩ  Hero top 1
320,👍
321,Phong cận kìa🤩
322,hay
323,Hayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
324,Còn ai nghe k:)) dù t trung lập ko fan ko anti mà t vẫn thấy bài này cháy đét
325,Chị Simmy ơi có đưa sao chép ban quuyên kià
326,hay thí
327,hòi hero team thắng rồi còn gì
328,Hay
329,Em chơi free fire nè
330,Siro rap như bắn súng luôn
331,Khét vãi❤❤❤❤❤
332,Lmc gaming joi ff bắn là bắn
333,Nào xử  hero team
334,bác gấu
335,"Nhìn phong cận ngầu quá  
😊❤🎉"
336,coi lại vẫn thấy hay=)) cmt toàn youtube khủng k vậy=))
337,Bác gấu kia
338,Bh chắc hero team giải tán het roi😢
339,0:53
340,Chắc h mk t xem:)))))
341,Sim sam xinh vãi❤❤❤😊😊
342,Top 1 là ai nàoooooooooooooo❤
343,Phong cảnh hát hay vãi😮❤
344,Mấy chị mấy anh đẹp trai đẹp gái quá tóp một số 11111111111111111😮😮😮😮😮
345,:)))
346,nghe 🤮 mắc ói
347,"""Gấu to gấu khỏe thì tao lấy mật""🗣🔥"
348,Chị  sam  ráp  hay   Quá
349,Quá hay❤❤❤❤❤❤❤
350,tôi mà vào hero team  ai mà phản bội
351,Top 1
352,Em rất thích anh phong rap 😊😊😊😊
353,ngầu quá vậy Wao
354,"Tao  
Trễ nhất 😎😎😎😎😎"
355,Ê ai còn nghe ko =))
356,Mai😅
357,Hahahahhahahahahahahahahahahahah
358,2025 ngày 21 tháng 8 kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk kkkkkkkkkkkkk 🎉🎉🎉🎉🎉
359,What new
360,Ngày trước coi hoài luôn á
361,Ngầu
362,Hôm. Sô lô ko 1 cân 30 luôn !
363,tìm lại sự cringe cringe hồi xưa
364,trễ quá 🥰🥰🥰🥰
365,tôi nghe xong phải nhờ anh đắp mộ hộ  :)))))
366,Phim nhảm 😂😂😂
367,Cô ngân và mèo simmy
368,E hay nha
369,10 điểm
370,Chị sim ngầu quá
371,Con sammy có vẩy tóc 😂😂😂😂😂😂
372,Đù mad bác gấu nhầu v
373,Rank Cao Thủ battle à ?
374,Coi lại nhạc cg hay😊😊
375,top 1 bài rap trong lòng tổi
376,"bài này tóp 1 luôn á mọi nhường ơi đỉnh của chóp luôn á trời , bạn nào thích anh siro rap nào ban nào  thích dơ cái tay lên"
377,đúng rồi anh siro ơi khét lẹt luôn á hay quaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
378,tao team hero team
379,10đ
380,✏
381,2025 tao ghé nghe lại 😂
382,Tui chọn hero ❤❤😘😍
383,10000❤❤❤😊😊😊😊
384,Sammy và simmy rap hay quá
385,2025 đang ôn kĩ niệm 😂
386,+1 máy nghe hero chiến và chú đại bi
387,Như cạc
388,"ngày xưa đứa nào chả thuộc,bây giờ cứ tỏ ra nó dở 🙂"
389,Má hiếp dâm nhạc rap của t
390,"Wow x1000









Hero team đã hong 🌸🌸👉🌸👉🌸👉🌸👉🌸👉🌸👉🌸👉🌸👉🌸👉🌸"
391,nhà mình di chuyển đến đây chưa
392,gắt quá
393,Nhạc nghe xg muốn lm lọ 💔
394,Uầy đangs yêu vậy trời
395,mèo simmy vợ tôi
396,hero luôn nhất
397,Ôn lại kỉ niệm nào Mn ơi 😊
398,đâu? đứa nào đang ôn lại kỉ niệm =))))
399,hay quá chị mèo simmy oiwiiii<33333333333
400,Ai ôn lại kỉ niệm douuu 🤡
401,Hero Team ngầu nhất 🎉🎉🎉🎉
402,Ôn lại kỷ niệm
403,+1 máy ngại khi xem lại
404,"Camera với lại mèo simmy cute quá với lại cầm YouTube nữa 
:o"
405,A siro hồi nào quá
406,Hero tin xịn hơn không phải là không phải là free fire hack
407,Hay quá mọi người ơi top 1 sever free fire hack
408,찢었다...
409,Chị simmy nhảy đẹp quá😊
410,Chị SAMMY ngầu quá❤❤❤ và PHONG CẬN NỮA❤❤
411,So I am going home screen shot chap
412,=)) giờ còn người coi kô
413,Hero    team ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
414,Em fan hero team 2năm hero team ráp hay quá hát hay nhất Việt Nam ❤❤❤❤ yêu hero team ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤.         Phong cận ❤ Sammy ❤kairon❤ simmy ❤ Timmy ❤siro❤ kamui ❤Mr vịt
415,sao lại không có ghi chú trên mess =))) t muốn cóo
416,+1 ôn kỉ niệm😭🙏🏻
417,Có đứa nào xem lại ko
418,"Anh phong rap hay quá ,còn đẹp trai nữa ❤❤❤❤❤"
419,Hay quá anh chị ơi ❤❤❤
420,Herotim mãi đỉnh  🎉🎉
421,anh ơi cho em chịch
422,còn ai nghe ko😜
423,Nhưng quả beat khó cưỡng
424,Giờ nghe lại thấy quê😂
425,🎉thích mỗi T gaming u:)
426,Em không biết gì đâu
427,Hero team
428,Hay quá đi thôi
429,sicmaboy😈👹💯
430,❤❤❤❤❤❤❤❤❤❤❤❤❤
431,Nghe lại nhớ cực kỳ
432,Anh phong ơi ko có gao hồng
433,he ro  trẻ châu
434,Ai 2025 mà vẫn xem video này không
435,Hơn 4 năm trc☺🥰😇
436,Đến giờ vẫn nghe để bắn fi5😂😂
437,mồm chê nhm t vẫn thuộc lòng lòng😊
438,Top 1 nào mọi người
439,T đang xem lại chiến tích lịch sử
440,Chị Mèo Simmyyyyyyyyyyyyy
441,Cười nãy h 1 tiếng rồi 😢
442,Mẻ nào coi lại dauu=))
443,Wag kìa
444,❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉
445,hay z th =))
446,Tự nhiên thấy cũng hay 🤡🤡🤡
447,chi beo timmy em fan chi chi chhubb y oi ~~~~~~~
448,Xem lại thấy cx hay
449,Mn ơi hậu trường tới 16tiếng đó bất ngờ lun😮
450,😮😮😮😮😮😮😮😮😮😮😮😮😮😊
451,Muộn nhất
452,T gaming U =)))))))
453,Quá hay
454,😮top 1
455,Khét khét lấy chj ly nước cam
456,rap thi hay ban thi ngu
457,:)))))))))
458,Gáy đi gáy đi khi mày có thể🔥🔥🔥🔥🔥🔥🤯👍
459,Tại sao Sim và Cô Ngân là nhân vật chính v mn😮
460,T-gaming U!!
461,ô đừng cắt. ô mai cớttttttttttttttttttttttttttt
462,Đẻ non là gi ah 😂😂😂
463,❤❤❤❤❤❤❤❤❤😮😮😮
464,team co ngan khung
465,DJ nonstop nhạc Xuân đầu 🍎🍅❤️ có một kỳ tích của các doanh nghiệp và
466,Nghe lại mà niệm phật 👍🥰
467,U u u
468,Nhạc như cc ff trẻ trâu
469,nhu qq
470,Bác gấu phải đỉnh
471,T-gameing u
472,ai cũng chê xem này trẻ trâu nhưng hỏi là thằng nào cũng thuộc
473,chi simmy rap cũng hay nữa em mãi fan chị
474,anh gao bạc rap hay quá
475,2025 vẫn nghe điểm ranhh
476,2025
477,+1 máy mở ra ôn lại kỉ niệm
478,"uầy,khét ngẹt luôn"
479,ti gam ming uuuu
480,Cô ngân tóp 10 ❤❤❤❤
481,Người du túp bo là hero team 😊😊😊😊😊😊😊😊😊❤❤❤❤
482,lũ cmay trông mất tương lai quá
483,"Đù choáy vãi, có karaoke ko"
484,vịt kho tiêu
485,Nhu con cac
486,Có vẻ đây chứa đựng nhiều vết nhơ nhỉ😅
487,Hero team hay nhất ❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉
488,Đội hero mạnh nhất❤❤❤❤😊😊😊😊😊😊🎉🎉🎉🎉🎉
489,Hay quá❤🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊
490,Rap hay nhề hehe
491,"bị mê giọng siro , nhưng không còn hero nữa ròi"
492,❤❤😮😮😮😂😂😂🎉🎉🎉
493,Hero team đã là nhất rồi mà 😊😊😊😊😊😊😊😊
494,=))
495,Khét vãi luôn
496,ê 4 năm r nghe ông Siro hát vẫn cuốn
497,Chắc t muộn nhất quá
498,Ai trễ hơn t😊
499,😀
500,sieeuuuuuuuuuuuuuuuuuuuuu  ải chỉa
501,T Gaming: ohh 2:32
502,T Gaming U🗣️🔥
503,Anh Phong Rap hay quá
504,Hay quá❤❤❤❤❤❤
505,Giờ coi lậy thấy có bác gấu ở đó kiểu bất ngờ ấy :)))))
506,hay ghê luôn á
507,"lau roi moi nghe lai, ai con nghe bai nay ko😁"
508,"69tr view,ối dòi ơi"
509,T gangming u
510,Ôn lại kỉ niệm 😂😅
511,có ai 2025 vẫn xem ko mk bị tk bài này r
512,Timmy béo quá
513,Bài hát rất hay và ngầu mong heroteam sẽ luôn phát triển
514,Còn ai xem lại ko :)))
515,Timmy béo phì
516,bac gau ngong qua
517,Niệm Phật 😂
518,Giờ thấy mắc cỡ quá=)
519,t gaming uuuu
520,Hoài niệm thật chứ:)))
521,T gaming u
522,Kimi đó từ DJ UK gì đó gggh đi từ ythy ty
523,2:33 T gaming u=))
524,Nhạc hay vãi lò
525,"My sister said a video say my name W board to go by Sô basil basil, my name"
526,Doraemon và dễ thương nhất❤❤❤❤❤❤❤❤❤❤
527,Hát hay quá nói hay chị mèo
528,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️
529,Top top 1 đi hero tin
530,😊😊
531,Hời ơi 😅
532,Đoạn của anh ro em ảo luôn
533,Kĩ niệm xưa 😂
534,Tgeming với cô ngân gánh hết bài
535,T gaming uuuuuuuu
536,ngày xưa ik sôlo rap như tht
537,T gaming ohhhhhhhhhh:)
538,Nghe hay thật😊❤
539,coi lại thấy ngại
540,Lục lại kênh mới thấy luôn á
541,"Đùa, Vịt rap hợp nhất"
542,2025 rồi nghe vẫn còn hay 🥰🤡
543,Clm ai còn coi k :)))
544,Bác Gấu dí bị tiên😅😊
545,Tôi chi hai nổi nhất trong em xinh say hi hoi đó là rồng rắn lên mây và bài hề hoi đó tôi mong tập 6 em xinh say hi sẽ bức phá hơn 😅
546,T Gaming U
547,❤❤❤❤❤❤to
548,vcl
549,tao thich hero team
550,Bác mèo rap ok nghe đc nhất
551,Sever Việt Nam mà t lại giết Toàn Tây:))))
552,trong game on top là T Gaming u☝️
553,Hay quá đi cho 💗💗💗🥰🥰🥰
554,Có ai điếc ta khi nghe ko 😢
555,Trong hello tivi của nàng hầu hết 😱
556,Chị Sammy đào với anh Phong cần làm ngầu quá ❤️
557,T gaming Uuuuuu
558,T gaming U'
559,2025 ai c coi ko
560,Anh Phong cộng hay quá❤❤🎉😊
561,Hero team đẳng cấp top 1 server❤❤🎉🎉!!
562,Tgamingu =)))
563,Chị sim❤
564,Khét đo
565,I LOVE FREE FIRE. FREE FIRE IS THE BEST GAME IN THE WORLD
566,trong game on top là t. gaming u=)
567,Để tải nào tết bật lên-)))
568,Đội hero team hay nhất
569,tgaming u
570,Trong game on top là t gaming u
571,có ng là bác g kìa
572,Ê ai fan mèo simmy hong
573,khét
574,Nhạc hay vãi
575,Tui từ 2025 trở về để xem T Gaming UUUUUUUUUUUUU:))))
576,Ai còn nghe k ^^
577,2:30 Khúc này hay nè :)
578,Trong game on tag có T gaming U
579,timmy chuppy
580,H xem lại kì kì ta
581,T gaming u
582,=)))))
583,Muộn nhất
584,2:32 trong game ontop là t gaming ohh đăng lên Youtube là lewn trending ohh dù so tài đều happy ending ohh dù là game đấu hay đọ streaming ohh ( cho ai xem lại vết nhơ của T gaming :)) )
585,em là Fan của chị mèo simmy 🤭🤭🤭🤭🤭🤭🤭🫶🫶🫶❤️❤️❤️👏👏👏🤤☺️☺️☺️☺️☺️☺️☺️🤤🤤🤤🤤🤤
586,Tgaming U
587,Chọn Hello tim tao sẽ chọn Hello tim không chọn vòng quay Coi phim máy tính❤❤❤❤❤
