,processed_text
76,Móa . Đây mà gọi là nhạc à trời . Lạy . Cho 1 dislike .
77,Pickle ball ngày game điện tử cầm tay tôi chơi suốt 1200 trò chơi
78,Ê nói thật là bài này beat này được rồi nhg lời nó bị lỏ quá . Sửa lại lời là hay rồi
79,Sau khi nghe bài anh trai saybai của quốc kang thì thấy bài này cũng hay :red_heart:
80,gay quá
81,"Là một người gắn bó với âm nhạc được 5 năm rồi , tôi nhận xét đây là lạm phát âm nhạc"
82,"hay hơn việt nam mới tinh là được , tai tôi dễ nghe lắm , tôi nghe bài kia là tôi hết táo bón liền ln á , tại mắc ỉa vì nó dở"
83,Có ai từ việt nam mới tinh qua đây không
84,Nghe như đấm vào tai bố
85,Hay hơn edm trái tim rồi
86,Cảm giác sau khi nghe Việt Nam mới tinh tôi cảm giác pickeball cũng không khó nghe đến vậy .
87,Tôi rất hối lỗi khi dám chê pickleball :broken_heart:
88,"Cảm ơn , nhạc này để tra tấn mấy đứa mình ghét :skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones:"
89,Hay quá không : 55
90,Nghe việt nam mới tinh xong quay lại xin lỗi anh :crying_face:
91,"Hay đó , :face_with_tears_of_joy: chúc mừng vì nhận được tin nhắn này :face_with_tears_of_joy: !"
92,+ 1 like = 1 lần nghe lại
93,vàng của người này cũng có thể là rác của người khác = )
94,Tôi quay lại đây sau khi nghe Edm trái tim
95,"Bài hát này theo tôi nhận xét là hay . Còn theo như mấy cái bình luận ở trong này miêu tả nó như "" thảm hoạ "" thì tôi nghĩ nó không đến mức thế"
96,mình vừa nghe Một Việt Nam Mới Tinh liền phải qua đây .
97,"Sau khi nghe "" Bang Bang Vĩnh Cửu "" em phải công nhận rằng nhạc của anh vẫn còn ổn chán :loudly_crying_face:"
98,xin lỗi đỗ phú quí khi đã quá khắt khe với anh cho tới khi tôi nghe việt nam mới tinh : )
99,Nhạc pí cà bon còn hay hơn nhạc Việt Nam mới tinh sáng tác của Vstar ae ạ
100,xin loi do phu qui
101,Đã trổ bóng thì sống yên phận đi hát bài xàm l thế
102,Best music video evar !
103,chúng ta đã quá khắc khe với pickle ball
104,Sau khi tôi nghe xong bài Việt Nam mới tinh thì tôi cảm thấy bài này hay gấp mấy lần bài đó . :alien: :alien: :moai:
105,"Hôm nay ngày 21 / 11 / 2025 , là một người đàn ông tôi đến đây chỉ muốn nói : Xin lỗi Đỗ Phú Quý :face_with_tears_of_joy:"
106,"Xin lỗi Pickale ball . Vì nghĩ lại thì bài này vẫn còn hay chán so với nhạc quốc kang và "" Việt Nam mới tinh "" :thumbs_up:"
107,Bài hát dung tục
108,"Vậy là đã 1 năm rồi nhỉ , vẫn hay dù tôi không biết thảm hoạ chỗ nào"
109,Bài này đã rửa tai giúp tôi thoát khỏi quốc kang tiếng vọng từ cõi âm
110,"Tôi vừa mới nghe bài "" 1 Việt Nam mới tinh "" và cảm thấy "" Pickleball "" là 1 bài hát có giai điệu khá là lôi cuốn . :smiling_face_with_tear: :thumbs_up:"
111,Xin lỗi pickleball vì đã quá khắc khe :crying_face:
112,tôi đã quá khắt khe với pickleball sau pha mv tra tấn lỗ nhị kia : ) )
113,"visual thì không có , mặt thì bự , body thì gầy , tóc thì hói ? là visual dữ chưa ?"
114,"69K likes 130K dislikes : ) Nhưng mà bài này hay mà ? Tại không được đầu tư concept với lời hơi khó hiểu thôi , đa số toàn chê hùa . Mấy đứa trong cmt vô duyên vãi chưởng"
115,Đúng ngày sinh nhật tôi luôn nè không
116,1 năm rồi sao ? : (
117,"Mình nghe và xem mv thấy cuốn quá mọi người ạ , có phải mình bị gay rồi phải không ? :crying_face:"
118,"Trân trọng viết in hoa "" NHƯ CON CẶC """
119,Tôi quay lại xin lỗi Đỗ Phú Quí sau khi bị Việt Nam mới Ting hấp diêm lỗ tai . Pickleball hay thật các bro ạ
120,mới đây đã 1 năm rùi :red_heart:
121,What the fuck ? :middle_finger:
122,Chị mình đã bị liệt giường nhưng nhờ bài hát này chị đã có thể đứng dậy để tắt nó đi ( đùa )
123,Bài này nói lên ý nghĩa gì vậy
124,sau khi nghe bài của quốc kang thì tôi nghe bài này hay vãi cả lúa
125,Lý do tôi hay bật làm báo thức bài này để dễ dậy vì cứ để bật là thủng màn nhĩ
126,Có ai từ bài của tổng tài qua đây rửa tay không
127,Anh hẹn em p
128,Tôi thấy bài này củng hay mà
129,tự nhiên lại thấy bài này nghe hay hơn bài thằng tổng đài làm
130,Nhạc hay vãi : ) :clapping_hands:
131,Nhạc như cặc
132,Tự nhiên thấy hay hơn mấy bài hát mới ra gần đây :face_blowing_a_kiss: :face_blowing_a_kiss:
133,Sau khi nghe nhạc quốc kang tự nhiên thấy pickelball rất hay :clown_face:
134,""" thick of it "" còn sợ bài này chứ"
135,Hay mà bro :loudly_crying_face:
136,Picke ball là 2024
137,Cái gì gớm vậy trời
138,Anh có một tài năng đó và đó hát dỡ Vãi cả lon anh Thuột từng lớp đấy xã hội
139,:face_with_tears_of_joy: tôi cứ nghĩ bài mùa hè không nóng là bựa nhất rồi không ngờ còn bài này
140,"hay quá anh , bắn rồi anh ơi"
141,Con cún nhà tôi bị liệt chân khi tôi bật bài này nó liền chạy đến cắn điện thoại
142,Brenrot mới
143,Ocean English đã đưa tôi đến đây :face_with_tears_of_joy:
144,Bài hát hay . . mà cái mv hơi kì ? không
145,:face_with_tears_of_joy:
146,131 ngàn dislike :moai: đừng hỏi vì sao tôi biết
147,Nghe xong bài lỡ rồi tự nhiên thấy bài này hay hơn
148,tôi nge tới pickleball là tôi hiểu ngay mấy thành phần hư trên mxh
149,Giờ ai còn nghe không : ) )
150,Thảm họa của nhân loại là đây
151,Thằng ác nhất là nhạc sĩ
152,"giờ nghe lại mới thấy hay , không hiều mọi người nghĩ gì . Trừ phần lyrics ra thì mọi thử đều đến mức nghe được chứ có đến mức đó đâu ."
153,"cho vô lớp nghe thì bọn nó bịt hết tai lại , không thể hiểu"
154,Hay vãi cả lúa mấy con gà biết cái del gì
155,"mẹ tôi đã hát bài này ru em trai tôi ngủ , và cho đến hiện tại , tôi vẫn chưa thấy nó tỉnh dậy"
156,Hay hơn J97 rồi :softball:
157,Bài nhạc :party_popper:
158,tự nhiên thấy cũng cuốn
159,"Nghe bài này tôi xả tuồn tuột , rất cảm ơn :smiling_face_with_hearts:"
160,hay quá mình rất thích
161,ez kid
162,hay vãi cả lúa
163,vẫn mê :face_with_tears_of_joy:
164,"We analysed this video for newtons first law , thank you"
165,Hay . Nhạc quá có ích
166,tôi không phải đom đóm mà tôi là sky :pensive_face:
167,Đứa lớp tôi bị nghiện bài này rồi :face_with_tears_of_joy:
168,"Chết mẹ , tôi bị nghiện bài này là thế đéo nào :skull_and_crossbones: :skull_and_crossbones:"
169,pro bị bê đê hả trời
170,đéo * đúng BD
171,tiktok qua đây
172,tự nhiên giờ thấy hay lạ : ) )
173,tôi thấy cũng hay mà :crying_face:
174,7 - 10 còn ai không
175,không : 07
176,Hay mà
177,cứ ngỡ bài pickeball của anh quí là thảm họa nhất cho đến khi iOS 26 ra mắt
178,Ẹo mẹ nó tôi tự sát lành bai bai tôi tự sát đay
179,Nài mọi ngừơi tôi se nghe ban nhaṭ như cưc vâị nhé :grinning_face_with_sweat:
180,nhu cuc
181,thick of it nhung tieng viet = )
182,3 : 16 phần hay nhất trong bài
183,hay mà sao mọi người chê nhỉ ?
184,:grinning_face_with_sweat:
185,Khiếp nhìn anh em tưởng anh đang đi gọi vốn oh sorry mọi người mình không muốn ác thế đâu
186,không : 25 không : 27 không : 28 không : 28 không : 28 không : 28 không : 28 không : 28 không : 28 không : 28 không : 29 không : 29 không : 29 không : 29 không : 29 không : 30 không : 30 không : 30 không : 30 không : 30 không : 30 không : 31 không : 31 không : 31 không : 31 không : 31 không : 31 không : 32 không : 32 không : 32 không : 32 không : 32 không : 33 không : 33 không : 33 không : 33 không : 33 không : 33 không : 34 không : 34 không : 34 không : 34 không : 50 không : 50 không : 50 không : 50 không : 50 không : 50 không : 50 không : 51 không : 51 không : 51 không : 51 không : 51 không : 51 không : 52 không : 52 không : 52 không : 52 không : 52 không : 53 không : 53 không : 53 không : 53 pikcopon
187,Hốt như làn
188,Chẳng hay tí nào
189,chắc có mình thôi là thấy ông này hát hay < 3
190,nghe nhạc của anh bantumlum ngập hết cả cái hà nội rồi < 3
191,"Cảm ơn anh , em và thằng bạn em táo bón thâm niên . Nhờ có nhạc của anh , cứt của em và nó đều tuân ra hết một mạch mà không cần vào nhà vệ sinh rặn , em cảm ơn anh . Mãi yêu anh , mãi là tri kỉ của Đỗ Phú Quí :smiling_face_with_hearts:"
192,Hay hơn quốc kang
193,Hay mà :grinning_face_with_sweat:
194,Chị vừa chuyển đổi tên
195,ở đây có ai từ qkang zô đây không ạ
196,"2025 nghe lại bài này thấy bài anh háy hay hơn bài quốc kang , ông qkang kia hát như tục kinh ý"
197,goat
198,ổng này cũng đẹp zai ghê
199,"Em xin lỗi anh Đỗ Phú Quý , hóa ra Quốc Kang mới là thảm họa"
200,bài hay vậy
201,"Theo tôi , thực ra bài pickleball chỉ cần thay đổi một số chi tiết là nó sẽ cực kì hay và có thể trở thành 1 bản hit lớn , chỉ cần thay đổi tên bài hát , tác giả , người viết lời , ca sĩ , lời bài hát ( verse , chorus , bridge , outro ) , giai điệu , nốt nhạc , hợp âm , hòa âm ( nhạc cụ , giọng bè , hiệu ứng âm thanh ) , nhịp điệu , tempo , khóa nhạc , phong cách , thể loại , producer , intro , interlude , outro , nhạc nền , beat , instrumental , sample , lời thoại , hiệu ứng đặc biệt , video , visual , MV nếu có , biểu diễn trực tiếp , live version , copyright , pháp lý , năm phát hành , các phiên bản , remix , cover"
202,sau khi nghe những bài hát của top1 ca sĩ quốc kang thì tôi thấy bài này hay vãi cả lúa : )
203,nhạc quái gì đây
204,Bài này hơi tốn điện thoại
205,Quá hay
206,Súc sinh gay lọ
207,2025 ai còn nghe chấm cái
208,"Nghe nói bài hát là top thảm hoạ , vô xem thì thấy 8 , 7 trời lượt xem . :face_with_open_mouth: . Mà đúng là siêu thảm hoạ"
209,bài hát chất vãi ( chất thải )
210,"Sau khi nghe bài "" Thao túng tâm trí "" thì tôi thấy bài này của Đỗ Phú Quí đúng là tuyệt phẩm mà"
211,Mùa đông năm ấy … …
212,cảm ơn bạn rất nhiều sau khi nghe xong cảm giác đau lỗ đít của mình đã biến mất . cảm ơn rất nhiều ! thực sự mình đội ơn bạn
213,hay quá dỗ tay
214,bài này còn đỡ hơn của quốc cc
215,ték ýû clŏds ûff ńèiğą
216,Noob is pig :pig:
217,Noob and pro
218,"thằng bạn què của tôi đã chữa khỏi bệnh què vĩnh viễn , rồi nó dậy tắt nhạc"
219,Hay quá :party_popper:
220,Bài lên meme rồi đấy
221,"bài hát này đã giúp nước sông Hằng sạch hơn 50 lần , cảm ơn tác giả và nhờ đó tôi có thể uống nó"
222,"Hát là phụ , nó ưỡn ẹo khoe nhan sắc là chính"
223,""" Hay mà """
224,Thằng em tôi coi xong video này nó đập điện thoại luôn
225,:face_with_tears_of_joy: cacahne kowe
226,sau khi nghe những bài của quốc kang . tôi đã phải chạy vào đây để rửa tai :skull:
227,Haiz đã 1 năm rồi sao
228,Wtf
229,:hundred_points: :thumbs_up: :red_heart: :red_heart: :balloon: :smiling_face_with_smiling_eyes:
230,Hay
231,"Cũng hay phết , kiểu như tạo hiệu ứng truyền thông , làm nhiều người nghe vì cái mác "" bài hát "" hay "" """
232,giờ nghe lại còn hay chán so với nhạc quốc kang : )
233,Nhìn ra dáng đàn ông mà cái dọng
234,Cảm ơn đỗ Phú quý đã giúp tôi 1 lần nữa trong việc thoát táo bón :smiling_face_with_hearts: :smiling_face_with_hearts:
235,mặt nhìn tiểu nhân vãi cả lúa
236,anh hẹn em pickleball nghe thấy hay hay
237,Bài tệ nhất tôi từng nghe :smiling_face_with_halo:
238,:crying_face:
239,"Sao khi coi "" em sáng "" thì thấy bài này cũng không tệ lắm"
240,Sao nghe mà tôi thấy ẻ chảy vậy :face_with_tears_of_joy: ( ý kiến cá nhân )
241,Highlight của video nằm ở phút 3 : 15
242,"Cảm ơn anh rất nhiều vì trước nhà em suốt ngày có ma , thế mà kể từ khi có bài này là mấy con ma bọn nó sợ quá cút hết xong hét lên “ mẹ nhà mày tắt bài hát nhanh lên ” anh ạ . Xứng đáng là lá bùa vừa khiến người dùng điếc tai vừa có tác dụng xua đuổi mọi tà ma :grinning_face_with_sweat:"
243,Lần đầu nghe bài hát ! Xứng đáng là bài hát cứu được nhiều mảnh đời bất hạnh nhất việt nam . .
244,:red_heart: :smiling_face_with_smiling_eyes:
245,Ê sao tôi bắt đéo con muỗi ( còn sống ) xong cho ns nghe cái ns die luôn rồi :crying_face:
246,gay
247,gay quá anh ạ chỗ ae em khuyên thật
248,sau khi nghe em sáng của quốc kang tôi nhận thấy ca sĩ trong mv rất có hồn lời nhạc mới lạ giai điệu bắt tai hành động uyển chuyển
249,Ố dề quá :face_with_tears_of_joy:
250,hay hơn nhạc anh trai saygex là ok rồi
251,Cảm ơn anh này nhiều lắm :saluting_face: :saluting_face: . Thằng bạn của em nó bị liệt toàn thân mà em bắt nhạc này cho nó nghe mà nó đã đứng lên rồi tắt nhạc .
252,Sau khi bài này có cảm giác như có ai ỉa vào tay và đái vào mắt 2 chân mày muốn quan hệ với nhau vay
253,Hay qua đi
254,tại sao lại có 1 con súc vật thảm họa như thế này nhề
255,vừa nghe quốc kang xong phải ra đây rửa tai :wilted_flower: :broken_heart: :moai:
256,vừa lướt qua last night xong phải mở lại bài này để rửa tai
257,hay hơn last night
258,"Sau khi nghe xong "" last night "" thì tôi đã đi nghe bài này để rửa tai lẫn não bộ thật cảm ơn tác giả vì đã tạo ra 1 bài hát có thể thanh lọc tà ma"
259,"Cảm ơn ĐPQ rất nhiều vì thằng bạn em là người thực vật mấy năm nay , em rất buồn . Nghe mẹ nó nói nó rất thích nghe nhạc kinh dị nên em liền mở ra không ngờ mới bật chưa tới 1p thằng bạn em nó liền bật dậy đập nát cái điện thoại"
260,sau khi nghe bài Last Night của Quockangg thì tôi thấy bài này hay chán
261,"hay quá ạ , tháng 8 2025 ai còn nghe không"
262,bài hát này quá đúng tâm trạng
263,Bài này hay :party_popper:
264,hay hơn quốc kang
265,Bài hát với tiêu đề nói về độ depzai anh ấy :moai:
266,hay vậy anh Quí :red_heart: :party_popper: :party_popper:
267,WTF Kiệt tác của âm nhạc
268,Như đấm vô lôn ' :smiling_face_with_smiling_eyes:
269,Nghe nhiều bị ghiền
270,VẪN HƠN BLACKLIONS
271,Tôi nghĩ là tôi đã trách nhầm anh khi nghe các bài hát của quốc kang . Gửi anh Quý 1 lời xin lỗi :smiling_face_with_smiling_eyes:
272,Sau khi nghe bài này tôi ỉa chảy 6 ngày 6đem
273,sau khi nghe nhạc của quốc kang thì thôi tấybài này là 1 tuyệt tác
274,:skull_and_crossbones:
275,:thumbs_down:
276,"Mình hay ngồi cả giờ đi WC khiến người nhà khó chịu vì cứ lướt nội dung suốt . Từ ngày xem bài này mình cầm đt vào nghe mấy phút đã đi tuồn tuột sạch ruột . Cảm ơn tác giả đã ra một bài hát quá trị liệu , nhưng hay thì chưa :upside-down_face:"
277,Nếu bài này ra sau last nght thì ngol rồi :loudly_crying_face:
278,Nghe xong bài nầy nhức đầu kinhbhồn
279,Nên . Bcbzz đã
280,Combo
281,""" Ác hơn Đức Quốc Xã "" :exploding_head: :face_with_crossed-out_eyes: :face_with_crossed-out_eyes: :confounded_face: :confounded_face:"
282,lúc trước tôi là nng thực vật nhưng nhờ bài hát này tôi có thể đứng dạy và tắt đi
283,"Bye anh em tôi đi đầu thai đây , tôi sẽ rất nhớ mọi người :kissing_face:"
284,:party_popper: :smiling_face_with_smiling_eyes:
285,Khoe mui di anh :red_heart:
286,có con em khóc hoài cho nghe bài này cái khỏi khóc là hét dữ lắm :face_with_tears_of_joy:
287,Composer : Tuno Singer : Nguyễn Hồng Ngọc Arranger : Hoàng Danh Hướng Music Producer / Mix & Master : Dio Record : Doraemon
288,"Muốn chơi pickleball thì cần phải ẹo , nói thiệt , muốn kiếm gái thì cứ đi đánh pickleball :grinning_face_with_sweat:"
289,11 : 20
290,Giờ nghe nhạc của Quốc kang rồi nghe lại picleball thì thấy bài này còn hay chán :crying_face:
291,Ai còn nghe không
292,qr :partying_face: :star-struck: :partying_face:
293,Nghe hơi sến với không hỉu ra thì mọi thứ đều ổn :crying_face:
294,Thảm họa âm nhạc Việt Nam :skull_and_crossbones:
295,Muôn loài rip
296,Mưa Tiền :umbrella_with_rain_drops: :dollar_banknote:
297,Gay
298,Trời ơi đẹp trai quá :red_heart:
299,Hihi hay quá
300,Ai chs pickle ball voi bác không :face_with_tears_of_joy: :grinning_face_with_sweat: :grinning_face_with_sweat:
301,Ê mà nghe lâu thấy cũng cuốn nhé : )
302,:thumbs_up: :face_with_tears_of_joy:
303,Nghe - ối dồi ơi trình là gì - xong thì tôi thấy bài này hay hơn nhiều :folded_hands:
304,Nghe “ last night ” xong thấy bài này cũng được
305,1 : 25 quá hay :face_with_tears_of_joy:
306,COI CHỪNG CÓ AI ĐÓ VÔ NGẤM TRAI THAY VÌ NGHE NHẠC
307,Ai cung noi tham hoa thay toi cho chu kenh :grinning_face_with_sweat:
308,:flexed_biceps: :face_blowing_a_kiss:
309,Nghe như đấm vào tai vậy
310,Nhưng mà biên giới là gì vậy
311,đang ăn cơm thấy thk em mở bài này lên tôi đã bị tiền đình ngay tại chỗ
312,Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball Chơi bao nhiêu nhưng em nhắc anh Em không dễ dàng Không nên tia em tia trái banh Thua game rời em Không được lơ là đưa chân quá gần Hãy kiềm chế nào Thua mà năm lần Em sẽ nằm trên anh Ý anh là điểm mà Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball Pick it up pick it up pick it up Your ball Aim at me now Take that Smack that Holla back at me You came for it Let me hit you back Bang bang bang bang bang bang bang It sounds really bad Better look up Or I will catch up and Sheesh Thế nào là hơn thua Thế nào là mình ganh đua Em focus vào tâm trí anh chưa Vừa thắng liền tham lam Lùi chút chút lùi về sau không chạm Lùi xuống sâu vào Anh hẹn em Pickleball Ta vờn nhau Pickleball Tay vợt bên dưới hông Anh đập banh đập banh Đến em mạnh vào Ta chỉ chơi Pickleball Không nên vượt mức Pickleball Đưa vợt anh tiếp banh High and low Từ thấp đến trên cao Ta chỉ gặp chơi Pickleball Xong đi về Ta chỉ được chơi Pickleball Chơi xong về Ta chỉ gặp chơi Pickleball Xong đi về Ta chỉ được chơi Pickleball Chơi xong về Ta chỉ gặp chơi Pickleball Chơi xong về
313,Hay vải
314,Thấy hay mà ta
315,Rác
316,Nổ đầu rồi :face_with_tears_of_joy:
317,- anh hẹn em píc cà bôn -
318,Bài này hơn 2 bài của Quốc Kang say hi = ) nhạc quốc kang dành cho người khuyết tật nghe vài phút xog hết khuyết
319,Tôi phải qua xl bài này vì những bài của quốc kang :loudly_crying_face:
320,"Cảm ơn , bạn tôi bị gãy chân mà nhờ nhạc bạn mà nó phải đứng dậy để tắt"
321,Dở quá đi ! :crying_face:
322,Đẹp trai quá đi
323,sao tôi thấy hay nhỉ :face_with_open_mouth:
324,bài này hay hơn last night nhé
325,Nghe như cái đb chả hiểu cái l gì :face_with_tears_of_joy:
326,Bài hát như cứt
327,Nghe bài này để rửa tai sau khi nghe nhạc Quốc Kang .
328,Thảm hoạ âm nhạc
329,giờ nghe lại thấy hay quá
330,tôi phải xin lỗi ông này vì sau khi tôi nghe thằng quốc kang xong tôi phải nghe lại vì thấy bài này còn hay hơn bài của thằng quốc kang kia gấp 4 5 lần
331,Bạn tôi là người bị què sau khi nghe xong bài này đã có thể đứng dậy được và tắt bài hát anh thật sự có tài năng đấy dấu mẹ nó đi anh ơi :anger_symbol:
332,"đúng là hay , không bỏ phí cuộc đời : )"
333,xin lỗi ah sau khi nghe được bài bang bang vĩnh cửu em đã hối hận khi nói bài này tệ
334,"hay nhé , nghe khá vui"
335,Anh ơi cảm ơn anh rất nhiều bạn đầu khi em ngủ em luôn cái báo thức nhưng không chịu dậy khi em cài nhạc của anh bỗng nhiên em hết muộn học
336,"Mấy đứa vô học chê bài này . Tụi mày không nhớ ngày xưa HKT bị chửi thế nào à . Nhìn lại đi . Giờ toàn comment "" ngày xưa tau thích HKT mà không dám nói "" . Giờ được bao thằng được như HKt ngày xưa . . Tau nói nhóm HKT . Còn bài này tụi mày chê là phải rồi ."
337,"Hơn 8tr lượt xem , hack là cái chắc . Siêu thảm họa chứ thảm họa gì"
338,"Tôi bị táo bón mạn tính , từ khi nghe được bài này tôi ỉa chảy mịa luôn"
339,Mv thiếu kinh phí
340,Từ lúc nghe bài này là tôi không thể nhìn vào bộ môn này một cách bình thường được nữa = ) cứ mỗi lần qua sân pickle ball là nhạc tự nhảy trong đầu
341,Thật ra nghe hay mà :face_with_tears_of_joy:
342,Bài này dở đến nỗi tôi cũng phải bấm vào xem : ) )
343,hay quá người điếc bảo nhạc rất hay :penguin:
344,Xin cảm ơn đỗ Phú quý rất nhiều bài này đã có tác dụng rất nhiều trong việc khắc phục bị táo bón của tôi :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:
345,"Đang chạy deadline buồn ngủ thì nhớ tới vid này , thực sự giúp bản thân ta tỉnh táo vì muốn chửi thề : ) ) dm tác giả"
346,Khi tôi bật phụ đề : :skull_and_crossbones: :skull_and_crossbones: :skull_and_crossbones:
347,Từ khi nghe bài này . tôi cũng thấy bài trình hay vãi cả lúa :smiling_face_with_smiling_eyes:
348,hơn last night
349,bài này có thể làm bom nguyên tử của đức
350,Nghe riết ghiền
351,1x1X1X1X1X1X Qpeiai :smiling_face_with_smiling_eyes:
352,"bài hát này nghe cũng hay mà , cụ thể là từ phút 3 : 15"
353,tôi quay lại thấy bài này hay vãi cả lúa sau khi nghe last night của blacklions
354,Cách giúp người chết bật nắp quan tài .
355,mình nghe thấy nó hay cho người điếc
356,Bài hát xóa ngôi Trình ?
357,Như cứt
358,diệt bài trình đi đỗ phú quý !
